,2015/10/07 16:00:05
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,127,Dizzy?
2,122,Mumin谷??
3,118,さんせっと??
4,117,トムソン??
5,115,☆☆ながれ星彡
6,112,Ra?ffine
7,104,さんらいず??
8,102,上位目指す隊?
9,101,?いちごぷよ隊?
10,99,Lαvｉn&#039;υ?
11,98,ばよえ?ん。
12,96,tipo
13,95,嵐山
14,94,†とわいらいと†
15,93,谷口ぴーまん
16,91,えすぽらーず
17,91,早乙女学園?
18,89,お笑い?研究省
19,89,?Ｃlair?
20,89,カーバンクル
21,89,たいようのほこら
22,89,かもみ～るかふぇ
23,88,いえろ～こんび♪
24,88,みなみけ
25,88,RedbuII?
26,88,Antenna
27,87,淡麗生!!
28,87,ギルド一ナツ
29,87,ねこたらんど
30,86,かおりワールド
31,85,賢者モード
32,85,V.I.P.
33,84,早起は三文のとく
34,84,ぷよろう会
35,84,赤い妖精
36,84,無課金こそ愉悦!
37,84,★エーミール★
38,84,LovE?
39,83,MYM318☆彡
40,83,一生を寝てい隊
41,83,まるむすてぃ?ん
42,83,ぷよクエ楽しみ隊
43,83,★愉快な仲間達☆
44,82,?怪盗スケルトン
45,82,チームかつをぶし
46,82,ぴんぽーん
47,81,ぷよビ～ッチ☆
48,81,ねこのうにメロン
49,81,にゃ?んだふる♪
50,81,ＢＢ団
51,81,†魔導学校†
52,81,コンパイルクラブ
53,81,お腹@ばよ?支店
54,80,Luxillia
55,80,まったりにゃーん
56,80,トウーンタウン
57,80,自由都市ももにち
58,79,しろくまっ☆
59,79,手製ぷよ
60,79,同じ穴のぷよら～
61,80,だらゴロ・囚・
62,80,Law@
63,80,ぷよっとパニック
64,79,手製ぷよ
65,79,同じ穴のぷよら～
66,79,Blackチョコ
67,79,☆命蓮寺☆
68,79,猫好き仙人界
69,79,AGILE
70,79,ぷよります会☆
71,79,果物の缶詰
72,79,チームかわいい
73,78,ちょびぎるど
74,78,ぁひるたいちょ組
75,78,Tぷよ軍団
76,78,Gunners!
77,78,ねこずき
78,77,とれっきんぐ
79,76,ぷよよん同盟
80,76,六猫?おーき軍
81,76,コスモツリー
82,76,let&#039;sぷよ！
83,76,LxStella
84,76,Buzz?
85,75,チームやどかり
86,75,やわらかギルド
87,75,?月蝕雑技団?
88,75,ももピーチ帝国
89,74,Ｋ２
90,74,エランド
91,74,ミッドガルド?
92,73,北の大地☆人情派
93,73,?水守革命?
94,73,☆ぷよザイル☆
95,73,will
96,73,ぼっち同盟
97,73,ラフィ亭
98,73,無KG板ギルド
99,73,SPIRAL★彡
100,73,みなとみらい
101,73,???☆
102,72,?夢幻きらら?
103,72,Ψきたから組
104,71,あるぱっか牧場
105,71,ブルーウィング
106,71,遊戯都市第七地区
107,71,ファンタビーチ
108,71,TEREON&#039;s
109,71,チビコロ☆
110,71,☆ネコカフェ☆
111,71,プリンシパル☆彡
112,71,K・o・B
113,70,KYUSHU沖縄
